Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2003,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,14349,16766,31115,,,,,,,,,629472,,,629472,4346531,1752016,,6098547,,,,,,,,,629947,822545,,1452492,,,,,,,,,,,,,,695775,,695775,11393664,,,11393664,226982,324944,,551926,,675922,,675922,1813360,,,1813360,,,,,,,,,,,,,,946732,,946732,,,,,,,,,391694,474462,,866156,,701049,,701049,,,,,460990,553487,,1014477,,,,,,,,,,,,,,,,,329175,346783,,675958,,,,,,,,,,,,,,868153,,868153,,,,,,,,,569563,,,569563,,,,,20791378,8161868,,12872822,41826068
2003,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,3759,1180,4939,,,,,,,,,,,,,375920,391148,,767068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921307,,,921307,,,,,,,,,1158493,,,1158493,,,,,,,,,,,,,,,,,,,,,25373,33078,,58451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40090,125102,,165192,,,,,,,,,54672,94802,,149474,,328850,,328850,,,,,,,,,,,,,,,,,2575855,972980,,710798,4259633
2003,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,11340,11972,23312,,,,,,,,,980390,,,980390,3271259,1477203,,4748462,,,,,,,,,,,,,,,,,,,,,,,,,,931518,,931518,10638824,,,10638824,340506,448981,,789487,593598,899756,,1493354,1890879,,,1890879,,,,,,,,,,,,,,1389688,,1389688,,,,,,,,,594484,786224,,1380708,,843284,,843284,,,,,784427,851373,,1635800,,,,,,,,,,,,,,,,,427257,644810,,1072067,,,,,,,,,961289,1175143,,2136432,,951949,,951949,,555038,,555038,,,,,748759,,,748759,,,,,21231672,10954967,,27140598,59327237
2003,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,1974,2033,4007,,,,,,,,,,,,,30703,17137,,47840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88422,,88422,,,,,,,,,,,,,,,,,30703,105559,,,136262
2004,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,14785,16913,31698,,,,,,,,,753600,,,753600,6297369,2943143,,9240512,,,,,,,,,,,,,,,,,,,,,,,,,,898149,,898149,13711231,,,13711231,481944,590177,,1072121,,759802,,759802,2099599,,,2099599,,,,,,,,,,,,,,1170906,,1170906,,,,,,,,,694485,768152,,1462637,,942060,,942060,,,,,527266,671891,,1199157,,,,,,,,,,,,,,,,,340110,379985,,720095,,,,,,,,,778926,980739,,1759665,,1362838,,1362838,,,,,,,,,782647,,,782647,,,,,26467177,11467842,,17476673,55411692
2004,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,3839,1135,4974,,,,,,,,,,,,,440047,370723,,810770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196915,,,1196915,,,,,,,,,1155042,,,1155042,,,,,,,,,,,,,,,,,,,,,19613,30113,,49726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43482,143136,,186618,,,,,,,,,39840,75504,,115344,,375223,,375223,,,,,,,,,,,,,,,,,2894939,994699,,769045,4658683
2004,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,11676,12097,23773,,,,,,,,,1012109,,,1012109,3201713,1610763,,4812476,,,,,,,,,1072311,1203147,,2275458,,,,,,,,,,,,,,938309,,938309,10690874,,,10690874,347377,458914,,806291,564159,949637,,1513796,1888856,,,1888856,,,,,,,,,,,,,,1389543,,1389543,,,,,,,,,688306,824452,,1512758,,902956,,902956,,,,,746589,876712,,1623301,,,,,,,,,,,,,,,,,463222,605204,,1068426,,,,,,,,,,,,,,956811,,956811,,619857,,619857,,,,,767514,,,767514,,,,,21443030,11336305,,28607809,61387144
2004,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,1902,2036,3938,,,,,,,,,,,,,48254,35156,,83410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76081,,76081,,,,,,,,,,,,,,,,,48254,111237,,188316,347807
2005,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,14855,17345,32200,,,,,,,,,969476,,,969476,12014296,3128274,,15142570,,,,,,,,,740231,937981,,1678212,,,,,,,,,,,,,,809790,,809790,15910445,,,15910445,386623,501257,,887880,,781448,,781448,2376881,,,2376881,,,,,,,,,,,,,,1109973,,1109973,,,,,,,,,645332,761555,,1406887,,874186,,874186,,,,,553052,781410,,1334462,,,,,,,,,,,,,,,,,328309,410664,,738973,,,,,,,,,,,,,,1364969,,1364969,,,,,,,,,790200,,,790200,,,,,34714845,11461507,,20572732,66749084
2005,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,4063,1096,5159,,,,,,,,,,,,,485621,438496,,924117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606594,,,1606594,,,,,,,,,1615495,,,1615495,,,,,,,,,,,,,,,,,,,,,41066,41065,,82131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44342,152475,,196817,,,,,,,,,75654,75653,,151307,,371379,,371379,,,,,,,,,,,,,,,,,3868772,1079068,,755865,5703705
