Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team Revenue,Track and Field X Country Coed Team Revenue,Track and Field X Country Total Revenue,Volleyball Men's Team Revenue,Volleyball Women's Team Revenue,Volleyball Coed Team Revenue,Volleyball Total Revenue,Water Polo Men's Team Revenue,Water Polo Women's Team Revenue,Water Polo Coed Team Revenue,Water Polo Total Revenue,Weight Lifting Men's Team Revenue,Weight Lifting Women's Team Revenue,Weight Lifting Coed Team Revenue,Weight Lifting Total Revenue,Wrestling Men's Team Revenue,Wrestling Women's Team Revenue,Wrestling Coed Team Revenue,Wrestling Total Revenue,Other Sports Men's Team Revenue,Other Sports Women's Team Revenue,Other Sports Coed Team Revenue,Other Sports Total Revenue,Total Men's Team Revenue,Total Women's Team Revenue,Total Coed Team Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2003,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,14349,16766,31115,,,,,,,,,88466,,,88466,8461432,252695,,8714127,,,,,,,,,84954,22766,,107720,,,,,,,,,,,,,,29150,,29150,21871775,,,21871775,142740,163176,,305916,,27952,,27952,2353509,,,2353509,,,,,,,,,,,,,,59504,,59504,,,,,,,,,39456,23429,,62885,,32613,,32613,,,,,36272,23035,,59307,,,,,,,,,,,,,,,,,108327,15020,,123347,,,,,,,,,,,,,,102142,,102142,,,,,,,,,89844,,,89844,,,,,33276775,751482,,15802340,49830597
2003,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,3759,1180,4939,,,,,,,,,,,,,478974,442446,,921420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1114368,,,1114368,,,,,,,,,2076537,,,2076537,,,,,,,,,,,,,,,,,,,,,17568,42533,,60101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37488,147887,,185375,,,,,,,,,37082,87012,,124094,,326855,,326855,,,,,,,,,,,,,,,,,3762017,1046733,,835317,5644067
2003,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,11340,11972,23312,,,,,,,,,182171,,,182171,7453271,74741,,7528012,,,,,,,,,,,,,,,,,,,,,,,,,,23276,,23276,38547937,,,38547937,24734,8476,,33210,27289,45837,,73126,2681093,,,2681093,,,,,,,,,,,,,,5990,,5990,,,,,,,,,12561,8198,,20759,,36747,,36747,,,,,27358,22526,,49884,,,,,,,,,,,,,,,,,12952,45945,,58897,,,,,,,,,27664,71199,,98863,,41944,,41944,,9371,,9371,,,,,35632,,,35632,,,,,49032662,394250,,19493567,68920479
2003,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,1974,2033,4007,,,,,,,,,,,,,30823,17268,,48091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74001,,74001,,,,,,,,,,,,,,,,,30823,91269,,,122092
2004,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,14785,16913,31698,,,,,,,,,142604,,,142604,11019187,981041,,12000228,,,,,,,,,,,,,,,,,,,,,,,,,,107866,,107866,29274872,,,29274872,187686,203748,,391434,,52940,,52940,2672259,,,2672259,,,,,,,,,,,,,,97461,,97461,,,,,,,,,270730,267588,,538318,,82797,,82797,,,,,91297,75932,,167229,,,,,,,,,,,,,,,,,89279,26588,,115867,,,,,,,,,61165,44000,,105165,,364943,,364943,,,,,,,,,256809,,,256809,,,,,44065888,2304904,,12870194,59240986
2004,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,3839,1135,4974,,,,,,,,,,,,,457507,388252,,845759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269021,,,1269021,,,,,,,,,1991395,,,1991395,,,,,,,,,,,,,,,,,,,,,19404,19404,,38808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41738,143463,,185201,,,,,,,,,55778,55778,,111556,,342063,,342063,,,,,,,,,,,,,,,,,3834843,948960,,905468,5689271
2004,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,11676,12097,23773,,,,,,,,,223688,,,223688,7661227,109757,,7770984,,,,,,,,,39609,80137,,119746,,,,,,,,,,,,,,9665,,9665,46396107,,,46396107,23546,25766,,49312,72138,58328,,130466,2797576,,,2797576,,,,,,,,,,,,,,5760,,5760,,,,,,,,,7156,3715,,10871,,57350,,57350,,,,,32452,4150,,36602,,,,,,,,,,,,,,,,,4018,65060,,69078,,,,,,,,,,,,,,57756,,57756,,1144,,1144,,,,,44971,,,44971,,,,,57302488,478588,,20643110,78424186
2004,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,1902,2036,3938,,,,,,,,,,,,,59000,26185,,85185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96823,,96823,,,,,,,,,,,,,,,,,59000,123008,,188316,370324
2005,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,14855,17345,32200,,,,,,,,,144034,,,144034,10979164,1126017,,12105181,,,,,,,,,59290,54823,,114113,,,,,,,,,,,,,,93097,,93097,33585383,,,33585383,1192072,1195369,,2387441,,70465,,70465,2463891,,,2463891,,,,,,,,,,,,,,96916,,96916,,,,,,,,,265069,256501,,521570,,78994,,78994,,,,,107457,73716,,181173,,,,,,,,,,,,,,,,,98239,24247,,122486,,,,,,,,,,,,,,314533,,314533,,,,,,,,,212181,,,212181,,,,,49106780,3384678,,14257626,66749084
2005,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,4063,1096,5159,,,,,,,,,,,,,485621,445788,,931409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606594,,,1606594,,,,,,,,,1615495,,,1615495,,,,,,,,,,,,,,,,,,,,,41066,41065,,82131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44342,152475,,196817,,,,,,,,,75653,75652,,151305,,371379,,371379,,,,,,,,,,,,,,,,,3868771,1086359,,862188,5817318
